"Behaviour_INBO","Behaviour_ESAS","Description_ESAS"
"AP","36","aerial pursuit"
"AV","90","under attack by keptoparasite"
"B","66","preening or bathing"
"CD","61","courtship display"
"CF","62","courtship feeding"
"DF","94","flushed (disturbance)"
"DY","93","escape diving"
"F","30","holding fish"
"K","68","kleptoparasitising"
"M","113","active migration"
"P","44","surface pecking"
"PF","44","surface pecking"
"PS","43","surface seizing"
"R","60","resting or apparently asleep"
"S","40","scavenging"
"U","98","sick, unwell"
"X","99","dead"
"Y","45","deep plunging"
"YF","45","deep plunging"
"YS","48","pursuit diving, or bottom feeding"
"Z","49","actively searching"
"AV~F","90~30","under attack by keptoparasite & holding fish"
"YS~F","48~30","persuit diving, or bottom feeding & holding fish"
"K~F","68~30","kleptoparasitising & holding fish"
"P~F","44~30","surface pecking & holding fish"
"S~F","40~30","scavenging & holding fish"
