"X","Obskey","Poskey","Tripkey","Group","Species","Age","Plumage","Sex","Count","Distance","Transect","Behaviour","Association","Direction","Prey","TurbineHeight","Notes"
326137,1100326137,110065002,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
326138,1100326138,110065002,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
326139,1100326139,110065002,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
326140,1100326140,110065003,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
326141,1100326141,110065003,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
326142,1100326142,110065003,110001052,NA,"5900","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
326143,1100326143,110065003,110001052,NA,"5900","A",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
326144,1100326144,110065003,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
326145,1100326145,110065004,110001052,NA,"5900","A",NA,NA,1,"3",0,NA,NA,NA,NA,NA,"ENTER WF"
326146,1100326146,110065006,110001052,NA,"710","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,"OUTSIDE WF"
326147,1100326147,110065007,110001052,NA,"5900","A",NA,NA,1,"2",1,NA,"X",NA,NA,NA,NA
326148,1100326148,110065007,110001052,NA,"5900","3",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326149,1100326149,110065007,110001052,NA,"5900",NA,NA,NA,3,"2",0,NA,"X",NA,NA,NA,NA
326150,1100326150,110065007,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326151,1100326151,110065008,110001052,NA,"5900","A",NA,NA,3,"2",1,NA,"X",NA,NA,NA,NA
326152,1100326152,110065008,110001052,NA,"5900","A",NA,NA,8,"E",0,NA,"X",NA,NA,NA,NA
326153,1100326153,110065009,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
