"PositionID","ObservationID","GroupID","Transect","SpeciesCodeType","SpeciesCode","Count","ObservationDistance","LifeStage","Moult","Plumage","Sex","TravelDirection","Prey","Association","Behaviour","Notes"
110070426,1100336873,NA,TRUE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070426,1100336874,NA,FALSE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070426,1100336875,NA,FALSE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070426,1100336876,NA,FALSE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070427,1100336877,NA,TRUE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070427,1100336878,NA,FALSE,"ESAS",5920,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070428,1100336879,NA,FALSE,"ESAS",5900,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070431,1100336880,NA,FALSE,"ESAS",2130,3,"F",NA,NA,NA,NA,"NE",NA,NA,NA,NA
110070433,1100336881,NA,FALSE,"ESAS",5910,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070435,1100336882,NA,TRUE,"ESAS",5780,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070435,1100336883,NA,TRUE,"ESAS",63510,1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
110070436,1100336884,NA,TRUE,"ESAS",5900,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070438,1100336885,NA,TRUE,"ESAS",2130,3,"D",NA,NA,NA,NA,NA,NA,NA,"94",NA
110070439,1100336886,1,TRUE,"ESAS",5910,2,"D",NA,NA,NA,NA,NA,NA,NA,"94",NA
110070439,1100336887,1,TRUE,"ESAS",5910,1,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA
110070439,1100336888,NA,FALSE,"ESAS",5900,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070439,1100336889,NA,TRUE,"ESAS",5900,1,"A","2",NA,NA,NA,NA,NA,NA,"94",NA
110070439,1100336890,NA,TRUE,"ESAS",5900,1,"B","2",NA,NA,NA,NA,NA,NA,NA,NA
110070440,1100336891,NA,FALSE,"ESAS",5900,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070440,1100336892,NA,TRUE,"ESAS",5900,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070440,1100336893,NA,FALSE,"ESAS",20,1,"F",NA,NA,NA,NA,"NE",NA,NA,NA,NA
110070440,1100336894,NA,FALSE,"ESAS",2130,4,"F",NA,NA,NA,NA,"NE",NA,NA,NA,NA
110070441,1100336895,NA,FALSE,"ESAS",5780,1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110070441,1100336896,NA,TRUE,"ESAS",5900,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070441,1100336897,NA,FALSE,"ESAS",5900,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
110070441,1100336898,NA,TRUE,"ESAS",5920,1,"F","2",NA,NA,NA,NA,NA,NA,NA,NA
