"SampleID","PositionID","Time","Latitude","Longitude","Distance","Area","WindForce","Visibility","Glare","SunAngle","CloudCover","Precipitation","IceCover","ObservationConditions"
110001074,110068891,"08:00:00",51.2429,2.9072,0.473,0.1419,4,"D","none",NA,NA,NA,0,NA
110001074,110068892,"08:10:00",51.2387,2.8968,0.659,0.1977,4,"D","none",NA,NA,NA,0,NA
110001074,110068893,"08:12:00",51.2357,2.8885,0.681,0.2043,4,"D","none",NA,NA,NA,0,NA
110001074,110068894,"08:14:00",51.2327,2.88,0.683,0.2049,4,"D","none",NA,NA,NA,0,NA
110001074,110068895,"08:16:00",51.2299,2.8713,0.683,0.2049,4,"D","none",NA,NA,NA,0,NA
110001074,110068896,"08:18:00",51.2271,2.8625,0.684,0.2052,4,"D","none",NA,NA,NA,0,NA
110001074,110068897,"08:20:00",51.2243,2.8538,0.682,0.2046,4,"D","none",NA,NA,NA,0,NA
110001074,110068898,"08:22:00",51.2215,2.8451,0.683,0.2049,4,"D","none",NA,NA,NA,0,NA
110001074,110068899,"08:24:00",51.2184,2.8366,0.685,0.2055,4,"D","none",NA,NA,NA,0,NA
110001074,110068900,"08:26:00",51.2153,2.8281,0.686,0.2058,4,"D","none",NA,NA,NA,0,NA
110001074,110068901,"08:28:00",51.2122,2.8197,0.687,0.2061,4,"D","none",NA,NA,NA,0,NA
110001074,110068902,"08:30:00",51.209,2.8112,0.687,0.2061,4,"D","none",NA,NA,NA,0,NA
110001074,110068903,"08:32:00",51.2059,2.8027,0.689,0.2067,4,"D","none",NA,NA,NA,0,NA
110001074,110068904,"08:34:00",51.203,2.794,0.689,0.2067,4,"D","none",NA,NA,NA,0,NA
110001074,110068905,"08:36:00",51.2004,2.785,0.69,0.207,4,"D","none",NA,NA,NA,0,NA
110001074,110068906,"08:38:00",51.1986,2.7756,0.69,0.207,4,"D","none",NA,NA,NA,0,NA
110001074,110068907,"08:40:00",51.1977,2.7658,0.69,0.207,4,"D","none",NA,NA,NA,0,NA
110001074,110068908,"08:42:00",51.1973,2.756,0.685,0.2055,4,"D","none",NA,NA,NA,0,NA
110001074,110068909,"08:44:00",51.1971,2.7463,0.675,0.2025,4,"D","none",NA,NA,NA,0,NA
110001074,110068910,"08:46:00",51.1969,2.7367,0.658,0.1974,5,"D","none",NA,NA,NA,0,NA
110001074,110068911,"08:48:00",51.1966,2.7274,0.644,0.1932,5,"D","none",NA,NA,NA,0,NA
110001074,110068912,"08:50:00",51.1961,2.7182,0.647,0.1941,5,"D","none",NA,NA,NA,0,NA
110001074,110068913,"08:52:00",51.195,2.7091,0.646,0.1938,5,"D","none",NA,NA,NA,0,NA
110001074,110068914,"08:54:00",51.1929,2.7005,0.654,0.1962,5,"D","none",NA,NA,NA,0,NA
