"X","Tripkey","Date","Ship","Observers","Survey"
1051,110001052,"2023-02-15","SBE2","NV, WC","WINMON"
1052,110001053,"2023-02-16","SBE2","NV, WC","CODEVCO"
1053,110001054,"2023-02-17","SBE2","NV, WC","WINMON"
1054,110001055,"2023-04-19","SBE2","ES, NV","WINMON"
1055,110001056,"2023-04-20","SBE2","ES, NV","WINMON"
1056,110001057,"2023-04-23","SBE2","ES, NV","LTMON"
1067,110001068,"2023-10-26","SBE2","NV, HV","LTMON"
1068,110001069,"2023-10-27","SBE2","NV, HV","WINMON"
1069,110001070,"2023-10-30","SBE2","NV, HV","WINMON"
1070,110001071,"2023-10-31","SBE2","NV, HV","LTMON"
1071,110001072,"2023-12-14","SBE2","ES, WC","WINMON"
1072,110001073,"2023-12-15","SBE2","ES, WC","WINMON"
1080,110001081,"2024-03-18","SBE2","NV","LTMON"
1081,110001082,"2024-03-20","SBE2","NV","ELIA"
1082,110001083,"2024-03-22","SBE2","NV","LTMON"
